Arquivo,Texto
s16 (1).jpg,"02171037000010000000000000000010
"
s16 (10).jpg,"02211002000010000000000000000010
"
s16 (11).jpg,"02241039000010000000000000000010
"
s16 (12).jpg,"02161136000010000000000000000010
"
s16 (13).jpg,"02151277000010000000000000000010
"
s16 (14).jpg,"02191012000010000000000000000010
"
s16 (15).jpg,"02151099000010000000000000000010
"
s16 (16).jpg,"02241008000010000000000000000010
"
s16 (17).jpg,"02161068000010000000000000000010
"
s16 (18).jpg,"02231051000010000000000000000010
"
s16 (19).jpg,"02241007000010000000000000000010
"
s16 (2).jpg,"02191057000010000000000000000010
"
s16 (20).jpg,"02151109000010000000000000000010
"
s16 (21).jpg,"02201067000010000000000000000010
"
s16 (22).jpg,"02241009000010000000000000000010
"
s16 (23).jpg,"02241074000010000000000000000010
"
s16 (24).jpg,"02151037000010000000000000000010
"
s16 (25).jpg,"02151065000010000000000000000010
"
s16 (26).jpg,"02171088000010000000000000000010
"
s16 (27).jpg,"02241046000010000000000000000010
"
s16 (28).jpg,"02241072000010000000000000000010
"
s16 (29).jpg,"02151028000010000000000000000010
"
s16 (3).jpg,"02151061000010000000000000000010
"
s16 (30).jpg,"02241060000010000000000000000010
"
s16 (31).jpg,"02151105000010000000000000000010
"
s16 (32).jpg,"02151186000010000000000000000010
"
s16 (33).jpg,"02191017000010000000000000000010
"
s16 (34).jpg,"02211008000010000000000000000010
"
s16 (35).jpg,"02171036000010000000000000000010
"
s16 (36).jpg,"02191006000010000000000000000010
"
s16 (37).jpg,"02151183000010000000000000000010
"
s16 (38).jpg,"02151003000010000000000000000010
"
s16 (39).jpg,"02161114000010000000000000000010
"
s16 (4).jpg,"02211009000010000000000000000010
"
s16 (40).jpg,"02151129000010000000000000000010
"
s16 (41).jpg,"02151118000010000000000000000010
"
s16 (5).jpg,"02171021000010000000000000000010
"
s16 (6).jpg,"02151160000010000000000000000010
"
s16 (7).jpg,"02183078000010000000000000000010
"
s16 (8).jpg,"02241036000010000000000000000010
"
s16 (9).jpg,"02191090000010000000000000000010
"
